ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000165502,521.9592585074984,0.3197501027610823,0.06130952821183003,5.215341107442818,1.834792794540553e-07,7.589370195599561e-07,RPL36AL
ENSG00000173391,172.69089286946212,-0.7136875025689225,0.13685317453583085,-5.214986827960393,1.8383029757099242e-07,7.597494384052623e-07,OLR1
ENSG00000119899,11.64203940950886,1.4362951373540984,0.2755841944636995,5.211819713206703,1.8699723280496382e-07,7.721885731122624e-07,SLC17A5
ENSG00000131495,63.062785654618594,-1.1927908675070868,0.22896475448826853,-5.209495540800373,1.8935475855882876e-07,7.812672406029257e-07,NDUFA2
ENSG00000100949,9.8490483827471,1.6092555751459736,0.3092777797670893,5.203269295187875,1.9581279911913655e-07,8.072349789189907e-07,RABGGTA
ENSG00000119900,22.838469716522376,1.2675788753257726,0.24371698343042453,5.201028083820989,1.9818914906579163e-07,8.163465871829841e-07,OGFRL1
ENSG00000148572,51.655000469971874,0.7682289268614237,0.1477781650341877,5.198527987431012,2.008728840193936e-07,8.267080000597153e-07,NRBF2
ENSG00000115944,60.90428535641765,-0.7549478283662816,0.14524111681486873,-5.197893302683525,2.0155975817913027e-07,8.288407127131767e-07,COX7A2L
ENSG00000122861,5.71194655919256,-3.3017128585644255,0.6353759730362549,-5.1964710638751646,2.031071987632693e-07,8.345056644838674e-07,PLAU
ENSG00000253738,12.841740409494282,-1.6568146741568603,0.3191495556121062,-5.191342569721608,2.0878307946336648e-07,8.571094841127677e-07,GS1-251I9.4
ENSG00000136052,7.546392023940111,2.183546970910861,0.4212631418792656,5.183332586777002,2.1795586973296492e-07,8.936129068554694e-07,SLC41A2
ENSG00000166889,12.750739329973143,1.340332556503517,0.25858862767477575,5.183261802948425,2.1803863966620023e-07,8.936129068554694e-07,PATL1
ENSG00000124562,22.25223178931989,-1.1686719431654162,0.2255550443144296,-5.181315925421101,2.2032595181682155e-07,9.022347726898841e-07,SNRPC
ENSG00000163453,21.286682040962926,1.3114487938265922,0.25318458015873585,5.179813055772867,2.221083750324672e-07,9.080595565912625e-07,IGFBP7
ENSG00000225470,13.176009840005028,1.4038613221604124,0.2710259010639297,5.179805017341383,2.2211794607706504e-07,9.080595565912625e-07,JPX
ENSG00000115839,14.720512162475229,1.2525408509613922,0.2424326041577774,5.166552804697123,2.3845085814543647e-07,9.740212110778678e-07,RAB3GAP1
ENSG00000176788,38.435848951511716,0.9922577667259861,0.1920914454683383,5.165548961885115,2.3973426078982766e-07,9.784502969445291e-07,BASP1
ENSG00000100567,176.21579041474428,0.47136419104781185,0.09135577341382764,5.159654102128876,2.474065098547413e-07,1.008925800353692e-06,PSMA3
ENSG00000127948,20.887653638489198,-1.2176149172018023,0.23610372355831113,-5.157118654679263,2.5077889813039866e-07,1.0218304356656543e-06,POR
ENSG00000255302,60.86160668555655,-0.8986000678754004,0.1743470217093328,-5.154089006312509,2.5486687470306794e-07,1.0376270275815043e-06,EID1
ENSG00000116667,11.181118382891414,1.7684819217903809,0.3436190584694492,5.146635142030735,2.6520042739348495e-07,1.078803725340716e-06,C1orf21
ENSG00000116251,87.09546269723538,-0.6121425344913273,0.1190010064215247,-5.14401140712205,2.6893319353816715e-07,1.0930833027680342e-06,RPL22
ENSG00000229117,36.389442509912165,-0.8197987897056399,0.15948713116488722,-5.140219049134965,2.7441836266185824e-07,1.1144560612565053e-06,RPL41
ENSG00000166523,188.4365493331258,0.8028474262219621,0.15619883784704552,5.139906527397687,2.7487517405587733e-07,1.1153894346082422e-06,CLEC4E
ENSG00000123992,29.12186233253269,0.9742052092341368,0.18970247738962784,5.135437463124045,2.8148847308284446e-07,1.1412824725487604e-06,DNPEP
ENSG00000180233,7.340722049715184,1.8501357398565286,0.36032602384280715,5.134615924004572,2.8272078821790736e-07,1.1453338444375902e-06,ZNRF2
ENSG00000160194,8.211460441373994,-1.8762458895587222,0.36589450625805603,-5.127832906666967,2.9309639760444393e-07,1.1863885484581857e-06,NDUFV3
ENSG00000107581,23.936095377779452,-1.1883848369056065,0.2318057402646805,-5.126641107112724,2.9495700954676934e-07,1.1929372386113782e-06,EIF3A
ENSG00000140307,54.661645853167265,-0.7243371487510603,0.1413762937333552,-5.123469639946898,2.9996396387852544e-07,1.2121899000814755e-06,GTF2A2
ENSG00000107020,18.033510998739004,1.2600910128709921,0.2459850573496413,5.122632351931476,3.0129946557789114e-07,1.2155874990556297e-06,PLGRKT
ENSG00000167088,24.482163497605075,-1.0707320966916265,0.2090182227257783,-5.122673433580835,3.012338052824627e-07,1.2155874990556297e-06,SNRPD1
ENSG00000043462,32.263471860865465,1.0792435886107612,0.21082469528633488,5.119151658893515,3.069130861823024e-07,1.2341824103926628e-06,LCP2
ENSG00000099624,47.22272484476244,-0.749751335145423,0.14645621746632997,-5.119286487907484,3.066937677557819e-07,1.2341824103926628e-06,ATP5D
ENSG00000128989,31.717504237230493,0.8704736774322259,0.17003268624085896,5.119449069922713,3.064295064023046e-07,1.2341824103926628e-06,ARPP19
ENSG00000144381,85.39704793115635,0.9959524465183545,0.1945531539188659,5.119179136688241,3.0686837738745e-07,1.2341824103926628e-06,HSPD1
ENSG00000143862,18.260597076239904,1.196483350052128,0.23385941322241344,5.116250543715361,3.11669010023562e-07,1.2522825145182206e-06,ARL8A
ENSG00000084070,31.744554027323918,1.0705863551920347,0.2094826307116605,5.110621112380571,3.211013844263222e-07,1.2891276168880288e-06,SMAP2
ENSG00000198818,177.0836221069945,0.5321004679398816,0.1043171803561586,5.100794194428856,3.382311923337013e-07,1.3567902686757618e-06,SFT2D1
ENSG00000105643,8.084293489738263,-2.087898906520928,0.40960263090832505,-5.097376698706386,3.443925873388717e-07,1.3792544206872172e-06,ARRDC2
ENSG00000138688,8.080124790853446,2.348402113402645,0.4607040870234407,5.097419752829669,3.4431429553853117e-07,1.3792544206872172e-06,KIAA1109
